Team,Tag,Ground,Shrub,Canopy,Percent_Cnpy_Open
A,13,1,0,1,20.7
A,14,2,1,2,29.57
A,15,1,3,2,21.67
A,16,0,3,2,17.33
A,17,1,3,1,21.98
A,18,1,0,2,21.56
A,19,0,1,2,19.55
A,20,0,2,1,16.5
A,21,1,2,2,16
A,100,2,1,1,29.72
A,101,1,1,1,7.86
A,102,0,2,2,2.83
A,103,1,3,2,5.82
A,104,1,2,3,8.24
A,105,2,1,3,10.44
A,106,1,0,2,14.72
A,107,1,3,1,27.06
A,108,1,1,2,21.47
A,109,1,2,1,30.83
A,110,1,1,2,23.26
A,111,3,0,0,72.62
A,112,1,1,3,NA
A,113,1,0,3,NA
A,114,3,0,2,NA
A,115,3,0,1,NA
A,116,2,1,2,NA
A,117,2,0,1,NA
A,9,0,1,3,NA
A,8,0,2,3,NA
A,7,0,0,3,NA
A,6,1,2,3,NA
A,5,2,3,1,NA
A,4,NA,NA,NA,NA
A,3,NA,NA,NA,NA
A,2,NA,NA,NA,NA
A,1,NA,NA,NA,NA
B,119,1,1,2,16.54
B,120,3,1,1,34.59
B,121,3,0,0,47.88
B,122,3,2,0,57.87
B,123,0,2,3,22.53
B,124,1,2,1,23.45
B,125,0,3,2,19.56
B,126,1,2,2,19.38
B,127,1,2,2,14.25
B,128,0,2,2,7.86
B,129,0,1,2,5.36
B,130,1,2,0,39.69
B,131,1,1,2,11.68
B,132,1,1,2,17.98
B,133,3,0,2,8.69
B,134,0,1,2,5.25
B,135,3,0,1,27.16
B,136,3,1,2,13.01
B,137,2,1,2,30.03
B,32,3,0,0,21.16
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA
C,33,1,3,1,40.74
C,34,0,3,0,40.23
C,35,0,1,2,24.7
C,36,1,2,1,43.18
C,37,0,3,1,23.47
C,38,0,2,3,13.38
C,39,1,2,3,13.41
C,40,0,3,2,13.53
C,41,2,2,2,15.98
C,42,1,2,3,8.69
C,43,3,1,1,36
C,44,0,2,2,6.29
C,45,1,2,3,4.99
C,46,1,2,2,4.37
C,47,0,3,1,8.65
C,48,1,2,2,18.23
C,49,2,1,2,24.46
C,49,2,1,2,24.46
C,49,2,1,2,24.46
C,50,0,1,3,7.4
C,50,0,1,3,7.4
C,50,0,1,3,7.4
C,51,3,0,2,11.02
C,52,3,0,2,11.22
C,53,3,0,0,44.57
C,53,3,0,0,28.06
C,54,1,2,1,28.06
C,54,1,2,1,28.06
C,143,0,1,3,NA
C,144,1,1,2,NA
C,145,0,2,2,NA
C,146,1,0,2,NA
C,147,2,1,1,NA
C,148,1,2,1,NA
C,149,0,3,2,NA
C,150,0,2,2,NA
C,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA
D,55,1,3,1,39.1
D,55,1,3,1,39.1
D,56,0,3,2,24.47
D,57,0,3,2,23.88
D,58,0,3,2,17.94
D,59,1,2,1,23.22
D,60,1,2,3,20.43
D,70,0,2,3,7.96
D,71,0,1,2,19.28
D,72,1,2,2,11.59
D,73,1,2,3,2.01
D,74,0,3,1,12.07
D,160,1,3,2,3.87
D,159,0,3,1,10.02
D,158,0,2,2,15.69
D,157,1,1,3,7.5
D,156,1,2,2,16.46
D,155,1,3,1,19.51
D,154,0,3,1,17.29
D,153,1,3,2,15.33
D,152,1,1,3,4.14
D,172,2,2,2,NA
D,171,2,1,1,NA
D,170,0,3,2,NA
D,169,0,3,3,NA
D,168,0,3,3,NA
D,167,0,2,3,NA
D,164,0,3,3,NA
D,163,2,3,1,NA
D,162,3,2,0,NA
D,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA
E,75,1,0,2,33.48
E,76,0,0,3,10.5
E,77,0,1,2,10.22
E,78,0,3,2,13.74
E,79,0,2,2,10.8
E,80,1,2,1,14.74
E,81,0,2,3,12.27
E,82,0,0,3,16.15
E,83,1,2,3,15.45
E,84,1,3,2,12.9
E,85,1,3,2,13.17
E,86,0,3,2,13.95
E,87,0,0,3,11.44
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA
